Household_ID,State,Rural_Urban,Household_Size,Monthly_Income,Education_Level,Employment_Status,Food_Expenditure,Housing_Expenditure,Transport_Expenditure,Healthcare_Expenditure,Other_Expenditures,Total_Expenditure,MPCE,Age_Household_Head,Gender_Household_Head,Electricity_Access,Internet_Access,Cooking_Fuel_Type,Water_Source,Sanitation_Facility,Vehicle_Ownership,Loan_Repayment,Savings,Mobile_Phones_Owned,TV_Ownership,Computer_Ownership,Internet_Data_Usage_GB,Type_of_Employment,Agricultural_Land_Owned,Financial_Aid_Received,Type_of_House,Debt_Amount,Insurance_Coverage
H00512,Maharashtra,Rural,9,69307,Graduate,Unemployed,27216,21462,2540,10669,604,62491,6943.444444444444,29,Male,No,Yes,LPG,Well,No,0,18998,8893,2,No,Yes,394,Self-Employed,3,Yes,Own House,107809,Yes
H00513,Gujarat,Rural,5,51733,Graduate,Self-Employed,16166,6801,5034,8383,7933,44317,8863.4,61,Female,Yes,Yes,LPG,Other,No,2,7296,38307,1,No,No,288,Unemployed,1,No,Own House,337774,Yes
H00514,Karnataka,Rural,9,16240,No Schooling,Unemployed,9754,15130,2252,4477,8189,39802,4422.444444444444,55,Male,Yes,No,LPG,Other,Yes,0,12670,25387,3,Yes,No,185,Unemployed,5,No,Temporary Shelter,350761,No
H00515,Maharashtra,Urban,4,97493,Secondary,Unemployed,16246,15271,2349,1541,4067,39474,9868.5,52,Female,No,No,LPG,Well,Yes,0,9725,34071,1,Yes,Yes,45,Private,3,Yes,Own House,143239,Yes
H00516,Uttar Pradesh,Urban,2,76363,Postgraduate,Self-Employed,6078,17075,3142,4236,18065,48596,24298.0,52,Female,No,Yes,Other,Well,No,2,2674,42451,1,No,No,444,Self-Employed,8,No,Own House,205377,No
H00517,Rajasthan,Rural,6,37762,Higher Secondary,Self-Employed,14853,37919,2100,8601,5144,68617,11436.166666666666,54,Female,No,Yes,Electricity,Other,No,0,15796,47279,3,No,Yes,445,Government,2,Yes,Own House,416276,Yes
H00518,Karnataka,Rural,4,13259,Postgraduate,Self-Employed,19751,19984,4902,3927,15466,64030,16007.5,42,Male,Yes,Yes,Electricity,Well,No,0,11065,31469,0,Yes,Yes,128,Self-Employed,0,Yes,Rented House,127310,Yes
H00519,Rajasthan,Urban,6,55139,No Schooling,Unemployed,6042,23559,4299,13903,11830,59633,9938.833333333334,68,Female,No,No,LPG,River,Yes,1,19504,23123,2,Yes,Yes,404,Unemployed,0,No,Own House,328700,Yes
H00520,Maharashtra,Rural,3,19849,Secondary,Unemployed,18284,13861,1118,4128,4894,42285,14095.0,51,Female,Yes,No,Wood,Well,No,0,11026,45985,4,Yes,Yes,317,Private,8,Yes,Own House,470597,Yes
H00521,Rajasthan,Urban,6,86768,Higher Secondary,Self-Employed,16389,34434,1632,14631,4034,71120,11853.333333333334,59,Male,No,Yes,Other,Other,Yes,2,2076,23997,3,Yes,Yes,447,Self-Employed,8,No,Temporary Shelter,364292,Yes
H00522,Gujarat,Rural,2,94709,Primary,Self-Employed,4575,17667,5991,13381,12888,54502,27251.0,50,Female,Yes,No,Electricity,Other,No,0,19574,23110,3,Yes,No,86,Government,4,Yes,Own House,232949,Yes
H00523,Karnataka,Rural,2,59869,Secondary,Self-Employed,8754,6840,6295,14369,11819,48077,24038.5,63,Female,Yes,Yes,LPG,Piped Water,Yes,1,4787,40254,4,No,No,248,Unemployed,1,No,Own House,10485,Yes
H00524,Gujarat,Rural,9,68095,Graduate,Unemployed,19965,4565,8133,3003,6975,42641,4737.888888888889,73,Male,No,No,Wood,River,Yes,0,7494,35999,1,No,Yes,328,Private,8,No,Own House,365890,Yes
H00525,Maharashtra,Rural,7,75910,No Schooling,Unemployed,3986,21977,1987,9501,18658,56109,8015.571428571428,75,Female,Yes,No,Wood,Other,No,0,19961,20214,2,No,No,439,Self-Employed,7,Yes,Rented House,466666,No
H00526,Gujarat,Rural,3,91710,Secondary,Employed,20624,22118,8348,6758,15228,73076,24358.666666666668,42,Male,Yes,Yes,LPG,River,Yes,0,2581,19150,1,No,Yes,256,Government,9,No,Temporary Shelter,251818,No
H00527,Uttar Pradesh,Rural,1,28567,Secondary,Unemployed,22350,23641,5509,10418,12506,74424,74424.0,57,Female,Yes,Yes,Other,Well,Yes,1,15600,49801,4,Yes,No,276,Unemployed,9,Yes,Temporary Shelter,106255,No
H00528,Maharashtra,Rural,8,40292,Graduate,Unemployed,28681,8366,2613,593,16650,56903,7112.875,49,Female,Yes,Yes,Electricity,Other,No,2,14333,21225,4,No,No,277,Government,5,No,Rented House,8802,Yes
H00529,Maharashtra,Urban,6,79813,Higher Secondary,Unemployed,25988,27636,1544,7039,946,63153,10525.5,55,Male,No,No,Wood,Piped Water,Yes,2,10404,28658,2,Yes,Yes,437,Self-Employed,6,Yes,Rented House,295458,No
H00530,Maharashtra,Urban,7,56631,Primary,Self-Employed,17470,16630,2931,9235,608,46874,6696.285714285715,61,Female,No,No,Electricity,Other,No,1,11166,44946,4,Yes,No,3,Unemployed,5,No,Temporary Shelter,254290,No
H00531,Delhi,Urban,9,14885,Graduate,Unemployed,26704,21056,8479,9916,3739,69894,7766.0,26,Female,No,Yes,Electricity,Piped Water,Yes,1,932,20496,4,Yes,Yes,64,Self-Employed,4,No,Own House,441514,Yes
H00532,Rajasthan,Urban,5,64659,Primary,Self-Employed,7968,8382,2082,8995,6431,33858,6771.6,57,Female,No,No,Wood,River,Yes,0,18047,27225,2,Yes,No,434,Private,3,No,Temporary Shelter,281709,No
H00533,Delhi,Urban,1,59306,Higher Secondary,Employed,27427,17149,1808,781,4553,51718,51718.0,63,Male,No,Yes,LPG,Piped Water,Yes,2,8748,22680,3,Yes,Yes,201,Self-Employed,6,Yes,Rented House,93153,Yes
H00534,Delhi,Rural,7,71314,Secondary,Employed,9493,1992,5417,14530,14246,45678,6525.428571428572,67,Male,Yes,No,Wood,Well,Yes,1,15577,39073,1,No,Yes,62,Private,3,No,Own House,353289,No
H00535,Uttar Pradesh,Rural,5,70087,Primary,Self-Employed,6103,7858,9293,10331,1745,35330,7066.0,67,Male,Yes,Yes,Wood,Well,No,2,15015,23674,3,Yes,Yes,142,Self-Employed,9,Yes,Temporary Shelter,306377,No
H00536,Karnataka,Urban,3,34165,No Schooling,Self-Employed,4076,3121,2120,332,19604,29253,9751.0,56,Male,Yes,No,Other,Well,No,0,16108,24719,3,Yes,Yes,243,Government,9,No,Own House,479123,No
H00537,Rajasthan,Rural,9,63929,No Schooling,Self-Employed,23615,28160,8003,3038,14339,77155,8572.777777777777,42,Male,Yes,No,Electricity,Other,No,1,1104,13969,1,Yes,Yes,291,Government,9,No,Own House,310528,No
H00538,Gujarat,Urban,1,72028,Graduate,Unemployed,4994,21906,5266,3585,13356,49107,49107.0,41,Female,No,No,LPG,Well,Yes,2,17654,758,3,No,Yes,284,Unemployed,8,Yes,Rented House,183557,No
H00539,West Bengal,Urban,1,54812,Higher Secondary,Employed,5744,20572,5862,3970,5605,41753,41753.0,58,Male,No,No,Electricity,Well,Yes,2,12936,47250,2,Yes,No,179,Government,4,No,Temporary Shelter,215732,Yes
H00540,Maharashtra,Rural,1,55500,Graduate,Self-Employed,16466,5136,5692,2468,3422,33184,33184.0,63,Male,Yes,Yes,Wood,Other,No,0,9601,12222,1,Yes,Yes,173,Government,7,Yes,Rented House,340397,No
H00541,Gujarat,Rural,3,84151,Graduate,Unemployed,16523,17727,7122,1175,3013,45560,15186.666666666666,31,Male,No,No,LPG,River,No,1,3646,43927,0,Yes,No,324,Private,5,Yes,Temporary Shelter,456186,Yes
H00542,Maharashtra,Rural,6,63643,Postgraduate,Employed,29332,33167,6593,7805,3301,80198,13366.333333333334,66,Female,Yes,Yes,LPG,Well,No,2,14960,13435,3,No,Yes,412,Government,3,Yes,Temporary Shelter,37669,No
H00543,Uttar Pradesh,Urban,3,49900,Graduate,Unemployed,7594,16479,7204,7413,14395,53085,17695.0,78,Female,Yes,Yes,LPG,Well,No,0,14878,21777,4,Yes,No,110,Private,2,Yes,Own House,419488,Yes
H00544,Maharashtra,Rural,8,47946,Postgraduate,Employed,9531,32376,600,10205,7481,60193,7524.125,77,Male,No,Yes,LPG,Other,Yes,2,18438,28323,1,No,Yes,174,Private,5,Yes,Own House,405058,No
H00545,Delhi,Urban,2,12851,No Schooling,Unemployed,9371,5823,7157,11655,8721,42727,21363.5,59,Female,No,Yes,Other,River,No,0,9145,29914,0,No,Yes,474,Private,0,No,Own House,326243,No
H00546,Rajasthan,Urban,9,21288,No Schooling,Employed,16547,5920,6375,9935,6538,45315,5035.0,54,Female,No,No,LPG,River,Yes,2,18226,18175,4,Yes,No,152,Self-Employed,1,Yes,Rented House,104012,No
H00547,West Bengal,Urban,3,77692,Graduate,Employed,20028,20585,4771,3035,15582,64001,21333.666666666668,36,Female,No,Yes,Wood,River,No,2,2802,43285,0,No,Yes,463,Private,6,No,Own House,133154,No
H00548,Tamil Nadu,Rural,5,72580,No Schooling,Unemployed,5144,39239,737,2938,15148,63206,12641.2,59,Female,No,No,Other,Other,Yes,0,16365,11358,3,No,Yes,399,Self-Employed,3,Yes,Rented House,124878,No
H00549,Maharashtra,Rural,8,12368,Higher Secondary,Self-Employed,15990,18272,7726,9749,864,52601,6575.125,35,Male,No,No,Wood,Piped Water,No,1,6105,30627,4,Yes,Yes,355,Private,4,Yes,Own House,447020,Yes
H00550,Gujarat,Urban,2,90436,Postgraduate,Employed,16083,27619,8532,4334,2300,58868,29434.0,68,Male,No,No,Wood,Piped Water,No,0,18944,10239,3,Yes,Yes,216,Self-Employed,9,No,Rented House,157333,No
H00551,Delhi,Rural,6,51403,Postgraduate,Self-Employed,18626,10533,5718,9708,14610,59195,9865.833333333334,28,Female,Yes,No,Electricity,Well,Yes,1,19421,42425,4,Yes,No,296,Unemployed,0,No,Temporary Shelter,217578,No
H00552,Tamil Nadu,Rural,5,96170,Graduate,Unemployed,22469,4720,4525,7033,6458,45205,9041.0,49,Female,No,Yes,LPG,Well,Yes,2,2749,40603,1,Yes,Yes,448,Unemployed,1,Yes,Rented House,9795,Yes
H00553,West Bengal,Rural,9,14168,No Schooling,Self-Employed,9954,20267,6573,8553,9596,54943,6104.777777777777,72,Female,Yes,No,LPG,Well,No,2,16974,19614,2,No,No,452,Self-Employed,3,Yes,Rented House,307453,No
H00554,Tamil Nadu,Urban,5,91497,Primary,Self-Employed,9269,16696,3042,2109,7936,39052,7810.4,56,Female,Yes,Yes,Wood,Piped Water,Yes,0,17752,21017,2,No,Yes,488,Unemployed,7,No,Rented House,192528,No
H00555,Delhi,Urban,2,54879,Postgraduate,Self-Employed,9130,30968,2037,9519,13138,64792,32396.0,44,Male,No,No,LPG,Other,No,0,10181,29197,0,Yes,Yes,403,Government,9,No,Temporary Shelter,229636,No
H00556,Rajasthan,Rural,5,64871,Graduate,Self-Employed,8828,24345,1254,14696,679,49802,9960.4,74,Female,Yes,No,Other,Well,Yes,1,1361,17888,4,Yes,Yes,452,Private,3,Yes,Rented House,20180,No
H00557,Rajasthan,Urban,4,94388,Graduate,Self-Employed,26746,26693,7896,12262,4373,77970,19492.5,55,Male,No,Yes,Electricity,Other,No,1,3773,25161,3,Yes,Yes,419,Self-Employed,2,Yes,Temporary Shelter,456504,No
H00558,Karnataka,Rural,7,37174,Higher Secondary,Employed,10844,20385,8323,10050,18070,67672,9667.42857142857,28,Female,Yes,No,LPG,Well,No,1,13495,10047,1,No,No,476,Unemployed,2,Yes,Own House,308479,Yes
H00559,Rajasthan,Rural,6,97491,Secondary,Employed,16220,19122,6007,11517,15955,68821,11470.166666666666,78,Male,Yes,No,LPG,Other,No,0,2064,15644,1,Yes,Yes,239,Unemployed,4,No,Own House,355031,No
H00560,Karnataka,Rural,2,11581,Secondary,Employed,8331,2364,4735,2163,17657,35250,17625.0,62,Female,Yes,No,Other,Other,No,2,18799,20114,1,No,Yes,225,Government,2,Yes,Temporary Shelter,497502,Yes
H00561,Tamil Nadu,Rural,5,76853,Postgraduate,Unemployed,21896,3708,1040,5353,13297,45294,9058.8,77,Male,No,No,Electricity,Piped Water,No,0,19335,14895,2,No,Yes,185,Private,7,No,Rented House,259495,No
H00562,Uttar Pradesh,Urban,7,69046,Higher Secondary,Self-Employed,15397,13982,6010,10681,4960,51030,7290.0,71,Male,Yes,No,Other,Other,No,2,5616,32732,3,No,No,47,Government,4,No,Own House,426484,No
H00563,Gujarat,Urban,7,54678,Higher Secondary,Employed,19883,18308,8961,1166,15816,64134,9162.0,25,Male,Yes,Yes,Wood,River,No,0,7975,19452,1,No,No,465,Self-Employed,6,Yes,Rented House,197623,Yes
H00564,Gujarat,Urban,5,31649,Higher Secondary,Unemployed,12291,33919,8426,1089,852,56577,11315.4,27,Female,Yes,No,Wood,Piped Water,No,0,10960,23753,1,Yes,No,385,Unemployed,7,Yes,Rented House,239901,No
H00565,Tamil Nadu,Rural,9,93668,Postgraduate,Employed,20542,26161,5631,14648,5844,72826,8091.777777777777,61,Male,No,No,LPG,Well,Yes,1,15324,1679,0,Yes,No,207,Unemployed,4,No,Temporary Shelter,155561,No
H00566,Maharashtra,Rural,4,87325,Secondary,Employed,12164,36089,9197,3261,5007,65718,16429.5,46,Female,Yes,Yes,Electricity,Piped Water,Yes,2,6243,31858,4,Yes,Yes,156,Unemployed,7,Yes,Own House,190470,Yes
H00567,Maharashtra,Rural,3,19567,Higher Secondary,Self-Employed,23546,14865,1629,6661,5330,52031,17343.666666666668,41,Male,No,No,Wood,River,Yes,0,9560,43855,4,No,Yes,224,Government,2,Yes,Temporary Shelter,122352,No
H00568,Rajasthan,Urban,4,85404,No Schooling,Unemployed,12450,1495,3645,6366,11720,35676,8919.0,38,Male,Yes,Yes,Other,River,No,0,14684,38860,4,No,No,143,Government,6,No,Temporary Shelter,364411,No
H00569,Gujarat,Rural,5,94906,Graduate,Self-Employed,22423,3148,9053,12021,617,47262,9452.4,65,Female,Yes,No,Wood,Other,No,2,8330,32918,0,Yes,Yes,418,Private,7,Yes,Temporary Shelter,185542,Yes
H00570,Gujarat,Urban,6,66944,Graduate,Self-Employed,4035,34324,4220,7167,17365,67111,11185.166666666666,59,Male,Yes,No,Wood,River,No,0,4923,6552,2,No,Yes,110,Self-Employed,6,No,Temporary Shelter,339546,Yes
H00571,Karnataka,Urban,3,83002,Primary,Employed,13463,14393,4567,11581,4787,48791,16263.666666666666,37,Female,No,Yes,Other,River,Yes,2,6467,38021,0,No,No,317,Private,1,No,Rented House,110551,No
H00572,Uttar Pradesh,Urban,2,33803,Primary,Self-Employed,9977,2552,4695,11140,4977,33341,16670.5,59,Female,Yes,No,LPG,River,Yes,1,6076,15440,1,No,Yes,362,Private,7,Yes,Own House,363154,No
H00573,Delhi,Urban,4,23230,Postgraduate,Unemployed,19241,36853,9744,10058,7033,82929,20732.25,67,Female,Yes,No,Electricity,River,Yes,1,8001,46768,3,Yes,No,361,Unemployed,5,No,Own House,80808,No
H00574,Maharashtra,Urban,5,22862,Postgraduate,Self-Employed,22207,33924,7781,11458,17127,92497,18499.4,26,Female,Yes,Yes,LPG,Well,Yes,2,15303,47838,1,Yes,No,464,Government,9,No,Own House,120823,Yes
H00575,Gujarat,Urban,4,48355,Graduate,Self-Employed,25154,9926,3009,8301,13255,59645,14911.25,71,Male,Yes,Yes,Other,Well,Yes,1,17699,2887,1,Yes,No,131,Self-Employed,2,Yes,Rented House,425377,Yes
H00576,Karnataka,Rural,3,36259,No Schooling,Self-Employed,27625,31851,5516,7579,1365,73936,24645.333333333332,37,Male,No,No,Wood,Piped Water,No,2,16457,46249,3,No,No,112,Private,3,No,Rented House,120469,No
H00577,West Bengal,Rural,8,92445,Secondary,Employed,14182,24889,7033,9833,11673,67610,8451.25,75,Female,Yes,Yes,Electricity,Other,Yes,0,8675,48457,4,Yes,No,323,Self-Employed,6,Yes,Temporary Shelter,198707,No
H00578,Karnataka,Urban,4,35795,Secondary,Unemployed,2298,9055,5227,7480,5829,29889,7472.25,78,Male,Yes,No,LPG,Well,No,0,12303,15939,0,Yes,No,434,Unemployed,2,No,Temporary Shelter,334066,No
H00579,Maharashtra,Urban,2,13770,Postgraduate,Employed,25628,5654,1181,1267,1103,34833,17416.5,40,Male,Yes,Yes,Other,River,No,2,17933,2255,2,Yes,Yes,88,Private,0,No,Temporary Shelter,333018,Yes
H00580,Maharashtra,Rural,2,16093,No Schooling,Employed,2923,23634,4432,4423,6256,41668,20834.0,42,Female,Yes,No,Wood,Other,No,0,17743,7119,1,No,Yes,160,Government,5,No,Temporary Shelter,379397,Yes
H00581,Karnataka,Urban,1,51571,Postgraduate,Employed,22616,33363,6060,11315,11754,85108,85108.0,31,Male,No,Yes,Wood,Well,Yes,1,15128,20714,1,No,Yes,333,Private,2,No,Own House,322505,Yes
H00582,Delhi,Urban,4,5193,Secondary,Employed,15331,12468,4516,12645,4518,49478,12369.5,69,Female,Yes,Yes,LPG,Piped Water,Yes,0,18280,26290,2,No,No,407,Unemployed,9,No,Temporary Shelter,73836,No
H00583,Tamil Nadu,Rural,9,22569,Postgraduate,Employed,22690,33922,7839,12248,5692,82391,9154.555555555555,60,Male,Yes,Yes,Other,River,No,0,6659,40475,0,No,No,74,Private,5,No,Rented House,191838,No
H00584,Maharashtra,Urban,7,16190,Higher Secondary,Unemployed,21183,18380,1219,9218,2515,52515,7502.142857142857,65,Male,No,Yes,Wood,Other,Yes,2,5246,11028,1,No,No,280,Unemployed,9,No,Rented House,152472,No
H00585,Karnataka,Urban,7,67824,Postgraduate,Self-Employed,8578,27870,574,14378,10350,61750,8821.42857142857,54,Female,Yes,Yes,Wood,Well,Yes,1,6967,48525,2,Yes,Yes,411,Private,2,Yes,Rented House,286785,Yes
H00586,Gujarat,Urban,7,47752,Graduate,Employed,6875,38394,9985,4807,3880,63941,9134.42857142857,66,Male,Yes,Yes,Electricity,Other,No,0,6661,8698,1,Yes,Yes,6,Self-Employed,5,No,Temporary Shelter,183305,No
H00587,Karnataka,Rural,8,37327,Postgraduate,Employed,23710,15259,4657,4185,4270,52081,6510.125,65,Male,Yes,Yes,Wood,Well,No,0,12416,44439,4,No,No,112,Government,3,Yes,Own House,69833,Yes
H00588,Uttar Pradesh,Rural,1,47070,Graduate,Unemployed,14254,15873,9011,10484,6329,55951,55951.0,31,Female,No,Yes,LPG,Piped Water,No,2,510,20681,4,No,No,35,Unemployed,3,No,Own House,251673,No
H00589,Tamil Nadu,Rural,8,90925,No Schooling,Unemployed,24966,14016,2649,3379,2113,47123,5890.375,39,Male,Yes,Yes,Other,River,No,2,8614,49074,1,Yes,No,265,Self-Employed,9,No,Temporary Shelter,412548,Yes
H00590,West Bengal,Urban,4,45197,Secondary,Self-Employed,20186,1153,7213,14754,13647,56953,14238.25,64,Female,No,No,Other,Piped Water,No,1,2432,44755,1,No,No,112,Unemployed,9,Yes,Temporary Shelter,499925,No
H00591,Delhi,Urban,4,7261,Primary,Unemployed,12905,8853,4707,4738,16045,47248,11812.0,43,Male,No,Yes,Electricity,River,Yes,0,1906,47896,4,No,No,291,Private,1,Yes,Rented House,383043,No
H00592,Rajasthan,Rural,4,98905,Primary,Self-Employed,15353,13379,7641,12293,18763,67429,16857.25,67,Female,No,No,Other,River,No,2,15554,48843,1,No,Yes,222,Unemployed,3,Yes,Rented House,113398,Yes
H00593,West Bengal,Urban,6,31512,Secondary,Employed,17882,16792,9152,2562,5872,52260,8710.0,61,Female,No,Yes,LPG,Other,Yes,2,16448,46707,0,No,No,210,Unemployed,3,No,Own House,408417,No
H00594,Tamil Nadu,Urban,7,11716,Primary,Employed,29429,39367,9578,2424,11038,91836,13119.42857142857,26,Female,No,No,Wood,Well,Yes,2,4928,14019,0,No,No,17,Government,6,Yes,Rented House,438598,Yes
H00595,Tamil Nadu,Urban,6,91795,Postgraduate,Self-Employed,21041,19100,4436,6571,648,51796,8632.666666666666,66,Female,No,No,Electricity,Piped Water,No,1,4710,38280,3,Yes,No,240,Self-Employed,4,No,Rented House,46129,No
H00596,Tamil Nadu,Urban,1,33933,No Schooling,Unemployed,21730,12049,9807,1926,2254,47766,47766.0,72,Female,No,Yes,Other,Piped Water,No,2,11540,4599,0,Yes,No,133,Private,7,No,Temporary Shelter,295952,No
H00597,West Bengal,Urban,8,9378,No Schooling,Self-Employed,11663,1786,1575,10398,7878,33300,4162.5,79,Male,Yes,Yes,Electricity,Piped Water,Yes,1,6124,37777,1,No,Yes,219,Government,6,Yes,Own House,78346,No
H00598,Gujarat,Rural,7,45583,Secondary,Unemployed,21333,5368,4376,5991,14091,51159,7308.428571428572,37,Male,Yes,No,Electricity,Other,No,1,7837,48346,1,No,No,390,Unemployed,9,No,Temporary Shelter,73524,Yes
H00599,Tamil Nadu,Urban,6,90371,Primary,Employed,2941,31699,5115,8273,9871,57899,9649.833333333334,64,Female,No,No,Other,Other,Yes,0,15583,43962,2,Yes,No,101,Government,8,Yes,Own House,56625,No
H00600,Karnataka,Rural,6,34033,Postgraduate,Unemployed,3907,38040,7765,8658,13279,71649,11941.5,65,Male,No,Yes,Electricity,Other,No,0,17184,25702,0,No,No,139,Unemployed,7,Yes,Temporary Shelter,302471,Yes
H00601,West Bengal,Urban,5,29000,No Schooling,Self-Employed,6837,28454,6879,7213,10295,59678,11935.6,67,Female,No,Yes,Other,River,No,1,6109,29792,4,Yes,Yes,168,Private,8,Yes,Own House,150651,No
H00602,Rajasthan,Rural,6,80868,No Schooling,Self-Employed,15680,39762,9618,1037,19936,86033,14338.833333333334,67,Male,No,Yes,LPG,Piped Water,Yes,0,9909,40522,4,No,No,497,Unemployed,0,Yes,Rented House,21483,No
H00603,Tamil Nadu,Urban,9,47604,Higher Secondary,Employed,26489,24600,5152,4784,6192,67217,7468.555555555556,79,Male,No,No,Other,River,Yes,0,6659,48850,3,Yes,Yes,190,Government,9,No,Own House,393719,Yes
H00604,Karnataka,Rural,9,73336,Higher Secondary,Unemployed,19627,30238,7292,13189,4718,75064,8340.444444444445,55,Female,No,Yes,Wood,Piped Water,No,2,1238,21860,2,Yes,No,481,Government,2,No,Own House,333024,No
H00605,Gujarat,Urban,8,78869,No Schooling,Unemployed,7696,26241,9747,886,5303,49873,6234.125,40,Female,Yes,Yes,Other,Piped Water,No,0,15064,3020,4,No,No,24,Unemployed,4,Yes,Temporary Shelter,8947,No
H00606,Uttar Pradesh,Rural,9,10410,Secondary,Unemployed,18226,20810,7956,11753,19261,78006,8667.333333333334,66,Male,Yes,Yes,Wood,Well,No,1,5620,24185,3,No,No,464,Self-Employed,8,Yes,Own House,140605,Yes
H00607,Gujarat,Urban,8,88375,Graduate,Employed,15543,21167,5174,13483,12172,67539,8442.375,68,Male,No,Yes,Electricity,Piped Water,Yes,0,1486,23025,0,Yes,No,436,Government,7,No,Own House,178648,Yes
H00608,Rajasthan,Rural,8,61044,Graduate,Unemployed,14615,22811,1041,556,3682,42705,5338.125,30,Female,No,Yes,Other,Other,No,2,4681,5715,2,No,No,32,Self-Employed,9,No,Own House,303060,No
H00609,Tamil Nadu,Urban,1,68315,Postgraduate,Self-Employed,3466,21085,2661,12207,11509,50928,50928.0,52,Male,No,No,Wood,Other,No,1,11490,37183,2,Yes,No,342,Self-Employed,6,Yes,Temporary Shelter,440139,Yes
H00610,Rajasthan,Rural,5,76344,No Schooling,Unemployed,22341,10261,2751,9263,14828,59444,11888.8,56,Male,Yes,No,Other,Other,No,0,4470,45328,1,No,No,328,Self-Employed,1,No,Own House,448378,Yes
H00611,West Bengal,Rural,4,11796,No Schooling,Employed,20350,19733,9744,10365,3086,63278,15819.5,68,Female,No,Yes,Other,Well,No,1,11723,2883,0,No,No,5,Self-Employed,5,No,Temporary Shelter,473945,No
H00612,Maharashtra,Urban,2,91716,No Schooling,Unemployed,2375,30079,5069,14739,3148,55410,27705.0,34,Male,Yes,Yes,Other,Well,Yes,0,13888,9705,2,No,No,445,Government,3,No,Rented House,125468,Yes
H00613,Tamil Nadu,Urban,8,59245,Secondary,Unemployed,2262,34980,3244,4847,7813,53146,6643.25,74,Female,Yes,No,LPG,River,Yes,2,7177,45657,3,Yes,Yes,193,Government,4,No,Temporary Shelter,460133,Yes
H00614,Maharashtra,Rural,3,48056,Higher Secondary,Self-Employed,22746,15141,6541,10202,18601,73231,24410.333333333332,42,Female,Yes,Yes,Wood,Piped Water,Yes,0,13201,44708,4,Yes,Yes,229,Self-Employed,4,Yes,Own House,251362,No
H00615,Karnataka,Urban,4,22709,No Schooling,Unemployed,24886,10344,5175,4618,13044,58067,14516.75,28,Female,No,No,LPG,Piped Water,No,1,5441,19292,0,No,Yes,136,Government,3,No,Rented House,269156,Yes
H00616,Uttar Pradesh,Rural,7,63557,No Schooling,Self-Employed,13580,16896,2060,11033,7907,51476,7353.714285714285,33,Male,No,Yes,LPG,Other,No,1,18224,3431,0,Yes,Yes,322,Self-Employed,3,Yes,Own House,15213,Yes
H00617,Delhi,Rural,9,22543,Primary,Self-Employed,29971,24817,1664,10620,17754,84826,9425.111111111111,31,Male,Yes,No,Wood,Other,No,1,11719,31956,2,No,No,399,Self-Employed,3,Yes,Temporary Shelter,420779,No
H00618,Rajasthan,Rural,2,42418,Secondary,Employed,12136,30813,5919,6842,15734,71444,35722.0,74,Female,Yes,No,Other,Other,Yes,0,5397,2946,2,Yes,No,472,Self-Employed,1,Yes,Rented House,146284,No
H00619,Gujarat,Urban,3,99611,Postgraduate,Self-Employed,9833,19895,3222,3591,15512,52053,17351.0,32,Female,Yes,Yes,LPG,Other,Yes,0,1621,33797,2,No,Yes,215,Unemployed,0,No,Rented House,95660,Yes
H00620,Uttar Pradesh,Rural,4,21724,No Schooling,Self-Employed,3893,1143,970,12570,10235,28811,7202.75,67,Male,Yes,No,LPG,Other,Yes,0,17945,37686,3,Yes,Yes,494,Private,1,No,Rented House,322332,No
H00621,Tamil Nadu,Rural,1,8828,Primary,Employed,10106,11681,1968,10742,13925,48422,48422.0,31,Male,No,Yes,LPG,Other,Yes,2,17800,35130,1,Yes,Yes,348,Government,6,Yes,Own House,46576,Yes
H00622,Maharashtra,Urban,7,22087,Graduate,Self-Employed,13826,8367,8425,4557,16198,51373,7339.0,65,Male,Yes,No,Other,Piped Water,No,2,4190,12875,2,Yes,Yes,363,Government,0,No,Rented House,272855,Yes
H00623,Gujarat,Urban,2,17605,Postgraduate,Employed,3652,4228,1308,5079,15821,30088,15044.0,64,Female,No,Yes,LPG,Well,Yes,2,5054,7649,1,Yes,No,182,Self-Employed,5,Yes,Rented House,489018,Yes
H00624,Maharashtra,Urban,5,36337,No Schooling,Unemployed,23924,5582,8863,5519,13146,57034,11406.8,27,Female,Yes,Yes,Electricity,Other,Yes,1,1130,22537,1,Yes,Yes,167,Unemployed,3,Yes,Rented House,249486,Yes
H00625,West Bengal,Urban,1,10482,No Schooling,Employed,22276,14147,7219,13401,5393,62436,62436.0,41,Male,No,Yes,Wood,Piped Water,No,1,14071,24058,0,Yes,No,281,Unemployed,1,No,Rented House,247647,No
H00626,Maharashtra,Rural,3,70333,Primary,Self-Employed,2599,12397,5573,2939,9976,33484,11161.333333333334,26,Male,Yes,No,Electricity,Other,Yes,1,19981,24343,4,No,No,37,Government,2,No,Temporary Shelter,271659,No
H00627,West Bengal,Rural,2,97541,Secondary,Employed,23199,39799,8512,13431,17770,102711,51355.5,39,Male,No,Yes,Other,River,No,1,11936,42277,4,No,No,162,Self-Employed,6,No,Own House,151265,Yes
H00628,Karnataka,Rural,1,93296,No Schooling,Self-Employed,20296,38011,2145,11122,19142,90716,90716.0,70,Female,No,Yes,LPG,River,No,1,2118,42524,3,Yes,Yes,470,Government,5,Yes,Own House,198739,No
